Id,NoF,Area,Street,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Foundation,GarageType,PoolQC,SalePrice
514,20,9187,Pave,AllPub,Mitchel,1Fam,1Story,6,5,1983,PConc,Attchd,NA,134000
515,45,10594,Pave,AllPub,Crawfor,1Fam,1.5Unf,5,5,1926,BrkTil,Detchd,NA,96500
516,20,12220,Pave,AllPub,NridgHt,1Fam,1Story,10,5,2009,CBlock,Attchd,NA,402861
517,80,10448,Pave,AllPub,NWAmes,1Fam,SLvl,6,6,1972,CBlock,Attchd,NA,158000
518,60,10208,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1996,PConc,Attchd,NA,265000
519,60,9531,Pave,AllPub,CollgCr,1Fam,2Story,6,5,1998,PConc,Attchd,NA,211000
520,70,10918,Pave,AllPub,Crawfor,1Fam,2Story,7,9,1926,BrkTil,Detchd,NA,234000
521,190,10800,Pave,AllPub,OldTown,2fmCon,2Story,4,7,1900,BrkTil,NA,NA,106250
522,20,11988,Pave,AllPub,NAmes,1Fam,1Story,6,6,1957,CBlock,Attchd,NA,150000
523,50,5000,Pave,AllPub,BrkSide,1Fam,1.5Fin,6,7,1947,CBlock,Detchd,NA,159000
524,60,40094,Pave,AllPub,Edwards,1Fam,2Story,10,5,2007,PConc,BuiltIn,NA,184750
525,60,11787,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1996,PConc,Attchd,NA,315750
526,20,7500,Pave,AllPub,Somerst,1Fam,1Story,7,5,2005,PConc,Attchd,NA,176000
527,20,13300,Pave,AllPub,NAmes,1Fam,1Story,5,7,1956,CBlock,Attchd,NA,132000
528,60,14948,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2008,PConc,Attchd,NA,446261
529,30,9098,Pave,AllPub,Edwards,1Fam,1Story,4,7,1920,BrkTil,NA,NA,86000
530,20,32668,Pave,AllPub,Crawfor,1Fam,1Story,6,3,1957,PConc,Attchd,NA,200624
531,80,10200,Pave,AllPub,Timber,1Fam,SLvl,6,5,1988,CBlock,Attchd,NA,175000
532,70,6155,Pave,AllPub,BrkSide,1Fam,2Story,6,8,1920,BrkTil,Detchd,NA,128000
533,20,7200,Pave,AllPub,NAmes,1Fam,1Story,5,7,1955,Slab,Detchd,NA,107500
534,20,5000,Pave,AllPub,BrkSide,1Fam,1Story,1,3,1946,Slab,NA,NA,39300
535,60,9056,Pave,AllPub,Gilbert,1Fam,2Story,8,5,2004,PConc,Attchd,NA,178000
536,190,7000,Pave,AllPub,Edwards,2fmCon,2Story,5,7,1910,CBlock,NA,NA,107500
537,60,8924,Pave,AllPub,CollgCr,1Fam,2Story,7,5,1998,PConc,Attchd,NA,188000
538,20,12735,Pave,AllPub,NAmes,1Fam,1Story,4,5,1972,CBlock,Detchd,NA,111250
539,20,11553,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1968,CBlock,Attchd,NA,158000
540,20,11423,Pave,AllPub,CollgCr,1Fam,1Story,8,5,2001,PConc,Attchd,NA,272000
541,20,14601,Pave,AllPub,Timber,1Fam,1Story,9,5,2006,PConc,Attchd,NA,315000
542,60,11000,Pave,AllPub,NoRidge,1Fam,2Story,8,5,2000,PConc,BuiltIn,NA,248000
543,20,10140,Pave,AllPub,NWAmes,1Fam,1Story,7,5,1998,PConc,Attchd,NA,213250
544,120,4058,Pave,AllPub,NAmes,TwnhsE,SFoyer,7,5,1998,PConc,Attchd,NA,133000
545,60,17104,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2006,PConc,Attchd,NA,179665
546,50,13837,Pave,AllPub,NWAmes,1Fam,1.5Fin,7,5,1988,PConc,Attchd,NA,229000
547,50,8737,Pave,AllPub,BrkSide,1Fam,1.5Fin,6,7,1923,BrkTil,Detchd,NA,210000
548,85,7244,Pave,AllPub,Mitchel,1Fam,SFoyer,5,7,1970,CBlock,Detchd,NA,129500
549,20,8235,Pave,AllPub,OldTown,1Fam,1Story,5,7,1955,CBlock,Detchd,NA,125000
550,60,9375,Pave,AllPub,Somerst,1Fam,2Story,7,5,2003,PConc,BuiltIn,NA,263000
551,120,4043,Pave,AllPub,NPkVill,TwnhsE,1Story,6,6,1977,CBlock,Attchd,NA,140000
552,20,6000,Pave,AllPub,OldTown,1Fam,1Story,5,6,1957,CBlock,Attchd,NA,112500
553,20,11146,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2006,PConc,Attchd,NA,255500
554,20,8777,Pave,AllPub,Edwards,1Fam,1Story,4,5,1949,CBlock,Detchd,NA,108000
555,60,10625,Pave,AllPub,NridgHt,1Fam,2Story,7,5,2003,PConc,BuiltIn,NA,284000
556,45,6380,Pave,AllPub,BrkSide,1Fam,1.5Unf,5,6,1922,BrkTil,Detchd,NA,113000
557,20,14850,Pave,AllPub,NAmes,1Fam,1Story,5,5,1957,CBlock,Attchd,NA,141000
558,50,11040,Pave,AllPub,IDOTRR,1Fam,1.5Fin,4,6,1920,CBlock,CarPort,NA,108000
559,60,21872,Pave,AllPub,Gilbert,1Fam,2Story,7,5,1996,PConc,Attchd,NA,175000
560,120,3196,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2003,PConc,Attchd,NA,234000
561,20,11341,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1957,CBlock,Detchd,NA,121500
562,20,10010,Pave,AllPub,Mitchel,1Fam,1Story,5,5,1974,CBlock,Attchd,NA,170000
563,30,13907,Pave,AllPub,Edwards,1Fam,1Story,5,6,1940,CBlock,NA,NA,108000
564,50,21780,Pave,AllPub,Edwards,1Fam,1.5Fin,6,7,1918,BrkTil,Detchd,NA,185000
565,60,13346,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1992,PConc,Attchd,NA,268000
566,70,6858,Pave,AllPub,SWISU,1Fam,2Story,6,4,1915,PConc,Detchd,NA,128000
567,60,11198,Pave,AllPub,StoneBr,1Fam,2Story,9,5,2005,PConc,BuiltIn,NA,325000
568,20,10171,Pave,AllPub,NridgHt,1Fam,1Story,7,5,2004,PConc,Attchd,NA,214000
569,50,12327,Pave,AllPub,SawyerW,1Fam,1.5Fin,8,8,1983,CBlock,BuiltIn,NA,316600
570,90,7032,Pave,AllPub,NAmes,Duplex,SFoyer,5,5,1979,CBlock,Detchd,NA,135960
571,90,13101,Pave,AllPub,NAmes,Duplex,1Story,5,5,1965,CBlock,Detchd,NA,142600
572,20,7332,Pave,AllPub,NAmes,1Fam,1Story,6,6,1959,CBlock,Attchd,NA,120000
573,60,13159,Pave,AllPub,Timber,1Fam,2Story,7,5,2009,PConc,Attchd,NA,224500
574,80,9967,Pave,AllPub,Gilbert,1Fam,SLvl,7,5,2000,PConc,BuiltIn,NA,170000
575,80,10500,Pave,AllPub,NAmes,1Fam,SLvl,5,7,1971,CBlock,BuiltIn,NA,139000
576,50,8480,Pave,AllPub,NAmes,1Fam,1.5Fin,5,5,1947,CBlock,Detchd,NA,118500
577,50,6292,Pave,AllPub,SWISU,1Fam,1.5Fin,7,7,1928,BrkTil,Detchd,NA,145000
578,80,11777,Pave,AllPub,Sawyer,1Fam,SLvl,5,6,1966,CBlock,Attchd,NA,164500
579,160,3604,Pave,AllPub,Somerst,TwnhsE,2Story,7,5,2007,PConc,Detchd,NA,146000
580,50,12150,Pave,AllPub,OldTown,1Fam,1.5Fin,5,5,1954,BrkTil,Attchd,NA,131500
581,20,14585,Pave,AllPub,NAmes,1Fam,1Story,6,6,1960,CBlock,Attchd,NA,181900
582,20,12704,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2008,PConc,Attchd,NA,253293
583,90,11841,Grvl,AllPub,Edwards,Duplex,SFoyer,6,5,1990,CBlock,NA,NA,118500
584,75,13500,Pave,AllPub,OldTown,1Fam,2.5Unf,10,9,1893,BrkTil,Detchd,NA,325000
585,50,6120,Pave,AllPub,BrkSide,1Fam,1.5Fin,4,7,1935,BrkTil,Detchd,NA,133000
586,20,11443,Pave,AllPub,Timber,1Fam,1Story,8,5,2005,PConc,Attchd,NA,369900
587,30,10267,Pave,AllPub,BrkSide,1Fam,1Story,6,7,1918,BrkTil,Detchd,NA,130000
588,85,8740,Pave,AllPub,Sawyer,1Fam,SFoyer,5,6,1982,CBlock,Detchd,NA,137000
589,20,25095,Pave,AllPub,ClearCr,1Fam,1Story,5,8,1968,CBlock,Attchd,NA,143000
590,40,9100,Pave,AllPub,BrkSide,1Fam,1Story,5,6,1930,BrkTil,Detchd,NA,79500
591,60,8320,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2004,PConc,Attchd,NA,185900
592,60,13478,Pave,AllPub,NridgHt,1Fam,2Story,10,5,2008,PConc,BuiltIn,NA,451950
593,20,6600,Pave,AllPub,Mitchel,1Fam,1Story,5,8,1982,PConc,Detchd,NA,138000
594,120,4435,Pave,AllPub,CollgCr,TwnhsE,1Story,6,5,2003,PConc,Attchd,NA,140000
595,20,7990,Pave,AllPub,CollgCr,1Fam,1Story,5,6,1975,CBlock,Detchd,NA,110000
596,20,11302,Pave,AllPub,StoneBr,1Fam,1Story,8,5,2005,PConc,Attchd,NA,319000
597,70,3600,Pave,AllPub,OldTown,1Fam,2Story,6,7,1910,CBlock,Detchd,NA,114504
598,120,3922,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2006,PConc,Attchd,NA,194201
599,20,12984,Pave,AllPub,Crawfor,1Fam,1Story,5,6,1977,CBlock,Attchd,NA,217500
600,160,1950,Pave,AllPub,Blueste,Twnhs,2Story,6,6,1980,CBlock,Attchd,NA,151000
601,60,10927,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2005,PConc,BuiltIn,NA,275000
602,50,9000,Pave,AllPub,IDOTRR,1Fam,1.5Fin,6,6,1937,PConc,Detchd,NA,141000
603,60,10041,Pave,AllPub,SawyerW,1Fam,2Story,8,5,1992,PConc,Attchd,NA,220000
604,160,3182,Pave,AllPub,Somerst,TwnhsE,2Story,7,5,2004,PConc,Detchd,NA,151000
605,20,12803,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2002,PConc,Attchd,NA,221000
606,60,13600,Pave,AllPub,NAmes,1Fam,2Story,7,6,1965,CBlock,Attchd,NA,205000
607,20,12464,Pave,AllPub,CollgCr,1Fam,1Story,5,5,1996,PConc,Detchd,NA,152000
608,20,7800,Pave,AllPub,Edwards,1Fam,2Story,5,8,1948,CBlock,Attchd,NA,225000
609,70,12168,Pave,AllPub,Crawfor,1Fam,2Story,8,6,1934,PConc,Basment,NA,359100
610,20,7943,Pave,AllPub,Sawyer,1Fam,1Story,4,5,1961,CBlock,Attchd,NA,118500
611,60,11050,Pave,AllPub,CollgCr,1Fam,2Story,9,5,2000,PConc,Attchd,NA,313000
612,80,10395,Pave,AllPub,NWAmes,1Fam,SLvl,6,6,1978,CBlock,Attchd,NA,148000
613,60,11885,Pave,AllPub,CollgCr,1Fam,2Story,8,5,2001,PConc,BuiltIn,NA,261500
614,20,8402,Pave,AllPub,Mitchel,1Fam,1Story,5,5,2007,PConc,NA,NA,147000
615,180,1491,Pave,AllPub,MeadowV,TwnhsE,SFoyer,4,6,1972,CBlock,NA,NA,75500
616,85,8800,Pave,AllPub,NAmes,1Fam,SFoyer,6,7,1963,PConc,Attchd,NA,137500
617,60,7861,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2002,PConc,Attchd,NA,183200
618,45,7227,Pave,AllPub,NAmes,1Fam,1.5Unf,6,6,1954,CBlock,Detchd,NA,105500
619,20,11694,Pave,AllPub,NridgHt,1Fam,1Story,9,5,2007,PConc,Attchd,NA,314813
620,60,12244,Pave,AllPub,Timber,1Fam,2Story,8,5,2003,PConc,Attchd,NA,305000
621,30,8248,Pave,AllPub,Edwards,1Fam,1Story,3,3,1914,BrkTil,NA,NA,67000
622,60,10800,Pave,AllPub,NWAmes,1Fam,2Story,6,7,1974,CBlock,Attchd,NA,240000
623,20,7064,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1977,CBlock,Detchd,NA,135000
624,160,2117,Pave,AllPub,Somerst,TwnhsE,2Story,6,5,2000,PConc,Detchd,NA,168500
625,60,10400,Pave,AllPub,NWAmes,1Fam,2Story,6,5,1972,CBlock,Attchd,NA,165150
626,20,10000,Pave,AllPub,NAmes,1Fam,1Story,6,6,1962,CBlock,Attchd,NA,160000
627,20,12342,Pave,AllPub,NAmes,1Fam,1Story,5,5,1960,CBlock,Attchd,NA,139900
628,80,9600,Pave,AllPub,NAmes,1Fam,SLvl,6,6,1955,CBlock,Basment,NA,153000
629,60,11606,Pave,AllPub,NAmes,1Fam,2Story,5,5,1969,PConc,Attchd,NA,135000
630,80,9020,Pave,AllPub,NAmes,1Fam,SLvl,6,5,1964,CBlock,Attchd,NA,168500
631,70,9000,Pave,AllPub,OldTown,1Fam,2Story,5,6,1880,BrkTil,Detchd,NA,124000
632,120,4590,Pave,AllPub,NridgHt,Twnhs,1Story,8,5,2006,PConc,Attchd,NA,209500
633,20,11900,Pave,AllPub,NWAmes,1Fam,1Story,7,5,1977,CBlock,Attchd,NA,82500
634,20,9250,Pave,AllPub,NAmes,1Fam,1Story,5,7,1954,CBlock,Attchd,NA,139400
635,90,6979,Pave,AllPub,OldTown,Duplex,SFoyer,6,5,1980,CBlock,Detchd,NA,144000
636,190,10896,Pave,AllPub,SWISU,2fmCon,2.5Fin,6,7,1914,CBlock,NA,NA,200000
637,30,6120,Pave,AllPub,BrkSide,1Fam,1Story,2,3,1936,BrkTil,NA,NA,60000
638,190,6000,Pave,AllPub,OldTown,2fmCon,1.5Fin,5,4,1954,CBlock,BuiltIn,NA,93000
639,30,8777,Pave,AllPub,Edwards,1Fam,1Story,5,7,1910,CBlock,NA,NA,85000
640,120,3982,Pave,AllPub,Blmngtn,TwnhsE,1Story,8,5,2006,PConc,Attchd,NA,264561
641,120,12677,Pave,AllPub,NridgHt,TwnhsE,1Story,8,5,2003,PConc,Attchd,NA,274000
642,60,7050,Pave,AllPub,Somerst,1Fam,2Story,7,5,2001,PConc,Attchd,NA,226000
643,80,13860,Pave,AllPub,NAmes,1Fam,SLvl,8,7,1972,CBlock,Attchd,NA,345000
644,60,10793,Pave,AllPub,NWAmes,1Fam,2Story,5,5,1969,CBlock,Attchd,NA,152000
645,20,9187,Pave,AllPub,Somerst,1Fam,1Story,9,5,2009,PConc,Attchd,NA,370878
646,20,10530,Pave,AllPub,NAmes,1Fam,1Story,6,5,1971,CBlock,Detchd,NA,143250
647,20,7200,Pave,AllPub,NAmes,1Fam,1Story,5,5,1950,CBlock,Detchd,NA,98300
648,20,10452,Pave,AllPub,Edwards,1Fam,1Story,6,5,1953,CBlock,Attchd,NA,155000
649,60,7700,Pave,AllPub,NAmes,1Fam,2Story,6,5,1966,CBlock,Attchd,NA,155000
650,180,1936,Pave,AllPub,MeadowV,Twnhs,SFoyer,4,6,1970,CBlock,NA,NA,84500
651,60,8125,Pave,AllPub,Somerst,1Fam,2Story,7,6,2007,PConc,Attchd,NA,205950
652,70,9084,Pave,AllPub,Edwards,1Fam,2Story,4,5,1940,CBlock,Detchd,NA,108000
653,60,8750,Pave,AllPub,CollgCr,1Fam,2Story,7,5,1996,PConc,Attchd,NA,191000
654,50,10320,Pave,AllPub,IDOTRR,1Fam,1.5Fin,6,7,1906,CBlock,Detchd,NA,135000
655,20,10437,Pave,AllPub,NoRidge,1Fam,1Story,8,6,1995,PConc,Attchd,NA,350000
656,160,1680,Pave,AllPub,BrDale,Twnhs,2Story,6,5,1971,CBlock,Detchd,NA,88000
657,20,10007,Pave,AllPub,NAmes,1Fam,1Story,5,7,1959,CBlock,Attchd,NA,145500
658,70,7200,Pave,AllPub,Crawfor,1Fam,2Story,7,6,1931,BrkTil,Attchd,NA,149000
659,50,17503,Pave,AllPub,NAmes,1Fam,1.5Fin,6,5,1948,CBlock,Attchd,NA,97500
660,20,9937,Pave,AllPub,Edwards,1Fam,1Story,5,7,1964,PConc,Detchd,NA,167000
661,60,12384,Pave,AllPub,NWAmes,1Fam,2Story,7,7,1976,CBlock,Attchd,NA,197900
662,60,46589,Pave,AllPub,NoRidge,1Fam,2Story,8,7,1994,PConc,Attchd,NA,402000
663,20,13560,Pave,AllPub,NAmes,1Fam,1Story,6,3,1968,CBlock,Attchd,NA,110000
664,85,10012,Pave,AllPub,Edwards,1Fam,SFoyer,4,5,1972,CBlock,Detchd,NA,137500
665,20,20896,Pave,AllPub,Somerst,1Fam,1Story,8,5,2005,PConc,Attchd,NA,423000
666,60,11194,Pave,AllPub,Gilbert,1Fam,2Story,8,5,2000,PConc,Attchd,NA,230500
667,60,18450,Pave,AllPub,NAmes,1Fam,2Story,6,5,1965,CBlock,CarPort,NA,129000
668,20,8125,Pave,AllPub,SawyerW,1Fam,1Story,6,5,1994,PConc,Attchd,NA,193500
669,20,14175,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1956,CBlock,Detchd,NA,168000
670,30,11600,Pave,AllPub,Crawfor,1Fam,1Story,4,5,1922,BrkTil,Detchd,NA,137500
671,60,8633,Pave,AllPub,CollgCr,1Fam,2Story,6,5,2005,PConc,Attchd,NA,173500
672,70,6629,Pave,AllPub,Edwards,1Fam,2Story,6,6,1925,BrkTil,Detchd,NA,103600
673,20,11250,Pave,AllPub,Veenker,1Fam,1Story,6,6,1977,CBlock,Attchd,NA,165000
674,20,14442,Pave,AllPub,Crawfor,1Fam,1Story,6,7,1957,PConc,Attchd,NA,257500
675,20,9200,Pave,AllPub,NAmes,1Fam,1Story,6,6,1965,CBlock,Attchd,NA,140000
676,160,2289,Pave,AllPub,NPkVill,Twnhs,2Story,6,6,1978,CBlock,Attchd,NA,148500
677,70,9600,Pave,AllPub,OldTown,1Fam,2Story,4,2,1900,BrkTil,2Types,NA,87000
678,30,9022,Pave,AllPub,OldTown,1Fam,1Story,5,8,1924,BrkTil,Detchd,NA,109500
679,20,11844,Pave,AllPub,StoneBr,1Fam,1Story,8,5,2008,PConc,Attchd,NA,372500
680,20,9945,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1961,CBlock,Detchd,NA,128500
681,120,8012,Pave,AllPub,SawyerW,TwnhsE,1Story,6,5,1980,CBlock,Attchd,NA,143000
682,50,4500,Pave,AllPub,SWISU,1Fam,1.5Fin,5,5,1932,BrkTil,Detchd,NA,159434
683,120,2887,Pave,AllPub,ClearCr,1Fam,1Story,6,5,1996,PConc,Attchd,NA,173000
684,20,11248,Pave,AllPub,CollgCr,1Fam,1Story,9,5,2002,PConc,Attchd,NA,285000
685,60,16770,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1998,PConc,Attchd,NA,221000
686,160,5062,Pave,AllPub,StoneBr,TwnhsE,2Story,7,5,1984,CBlock,Attchd,NA,207500
687,60,10207,Pave,AllPub,Somerst,1Fam,2Story,7,6,2007,PConc,Attchd,NA,227875
688,160,5105,Pave,AllPub,Somerst,TwnhsE,2Story,7,5,2004,PConc,Detchd,NA,148800
689,20,8089,Pave,AllPub,StoneBr,1Fam,1Story,8,6,2007,PConc,Attchd,NA,392000
690,120,7577,Pave,AllPub,NridgHt,TwnhsE,1Story,6,5,2005,PConc,Attchd,NA,194700
691,120,4426,Pave,AllPub,CollgCr,TwnhsE,1Story,6,5,2004,PConc,Attchd,NA,141000
692,60,21535,Pave,AllPub,NoRidge,1Fam,2Story,10,6,1994,PConc,Attchd,NA,755000
693,60,26178,Pave,AllPub,Timber,1Fam,2Story,7,5,1989,PConc,Attchd,NA,335000
694,30,5400,Pave,AllPub,OldTown,1Fam,1Story,5,6,1921,BrkTil,Detchd,NA,108480
695,50,6120,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,6,1936,BrkTil,Detchd,NA,141500
696,20,13811,Pave,AllPub,Timber,1Fam,1Story,6,6,1987,CBlock,Attchd,NA,176000
697,30,6000,Pave,AllPub,BrkSide,1Fam,1Story,5,7,1921,CBlock,Detchd,NA,89000
698,20,6420,Pave,AllPub,Edwards,1Fam,1Story,5,7,1952,PConc,Detchd,NA,123500
699,20,8450,Pave,AllPub,Sawyer,1Fam,1Story,5,8,1965,CBlock,Detchd,NA,138500
700,120,4282,Pave,AllPub,Somerst,TwnhsE,1Story,7,5,2004,PConc,Attchd,NA,196000
701,20,14331,Pave,AllPub,Timber,1Fam,1Story,8,5,2002,PConc,Attchd,NA,312500
702,20,9600,Pave,AllPub,NWAmes,1Fam,1Story,7,5,1969,CBlock,Attchd,NA,140000
703,60,12438,Pave,AllPub,StoneBr,1Fam,2Story,8,5,2006,PConc,BuiltIn,NA,361919
704,190,7630,Pave,AllPub,OldTown,2fmCon,2Story,5,9,1900,BrkTil,Detchd,NA,140000
705,20,8400,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2004,PConc,Attchd,NA,213000
706,190,5600,Pave,AllPub,IDOTRR,2fmCon,2Story,4,5,1930,Slab,NA,NA,55000
707,20,115149,Pave,AllPub,ClearCr,1Fam,1Story,7,5,1971,CBlock,Attchd,NA,302000
708,120,6240,Pave,AllPub,NridgHt,TwnhsE,1Story,8,5,2006,PConc,Attchd,NA,254000
709,60,9018,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2007,PConc,Attchd,NA,179540
710,20,7162,Pave,AllPub,Sawyer,1Fam,1Story,5,7,1966,PConc,Attchd,NA,109900
711,30,4130,Pave,AllPub,BrkSide,1Fam,1Story,3,6,1935,CBlock,NA,NA,52000
712,50,8712,Pave,AllPub,IDOTRR,1Fam,1.5Fin,4,7,1900,Stone,Detchd,NA,102776
713,120,4671,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,1988,PConc,Attchd,NA,189000
714,190,9873,Pave,AllPub,BrkSide,2fmCon,1Story,4,5,1970,CBlock,Detchd,NA,129000
715,60,13517,Pave,AllPub,Sawyer,1Fam,2Story,6,8,1976,CBlock,Attchd,NA,130500
716,20,10140,Pave,AllPub,NWAmes,1Fam,1Story,6,5,1974,CBlock,Attchd,NA,165000
717,70,10800,Pave,AllPub,OldTown,1Fam,2Story,7,8,1890,BrkTil,Detchd,NA,159500
718,20,10000,Pave,AllPub,NWAmes,1Fam,1Story,5,6,1973,CBlock,Attchd,NA,157000
719,60,10542,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1993,PConc,Attchd,NA,341000
720,20,9920,Pave,AllPub,CollgCr,1Fam,1Story,5,6,1969,CBlock,Attchd,NA,128500
721,120,6563,Pave,AllPub,StoneBr,1Fam,1Story,8,5,1985,PConc,Attchd,NA,275000
722,120,4426,Pave,AllPub,CollgCr,TwnhsE,1Story,6,5,2004,PConc,Attchd,NA,143000
723,20,8120,Pave,AllPub,NAmes,1Fam,1Story,4,7,1970,CBlock,Detchd,NA,124500
724,50,8172,Pave,AllPub,Edwards,1Fam,1.5Fin,4,6,1954,PConc,Detchd,NA,135000
725,20,13286,Pave,AllPub,Edwards,1Fam,1Story,9,5,2007,PConc,Attchd,NA,320000
726,20,6960,Pave,AllPub,NAmes,1Fam,1Story,4,6,1970,CBlock,Detchd,NA,120500
727,20,21695,Pave,AllPub,Crawfor,1Fam,1Story,6,9,1988,CBlock,Attchd,NA,222000
728,20,7314,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2007,PConc,Attchd,NA,194500
729,90,11475,Pave,AllPub,NAmes,Duplex,1Story,5,5,1958,CBlock,Detchd,NA,110000
730,30,6240,Pave,AllPub,IDOTRR,1Fam,1.5Fin,4,5,1925,CBlock,Detchd,NA,103000
731,120,5389,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,1995,PConc,Attchd,NA,236500
732,80,9590,Pave,AllPub,Timber,1Fam,SLvl,7,5,2003,PConc,Attchd,NA,187500
733,60,11404,Pave,AllPub,CollgCr,1Fam,2Story,7,5,1998,PConc,Attchd,NA,222500
734,20,10000,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1961,CBlock,Attchd,NA,131400
735,20,8978,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1968,PConc,Attchd,NA,108000
736,75,10800,Pave,AllPub,OldTown,1Fam,2.5Unf,7,7,1914,BrkTil,Detchd,NA,163000
737,90,8544,Pave,AllPub,NAmes,Duplex,1Story,3,4,1950,CBlock,Detchd,NA,93500
738,60,10463,Pave,AllPub,Gilbert,1Fam,2Story,8,5,2005,PConc,Attchd,NA,239900
739,90,10800,Pave,AllPub,Edwards,Duplex,1Story,5,5,1987,CBlock,NA,NA,179000
740,60,9313,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2004,PConc,Attchd,NA,190000
741,70,9600,Pave,AllPub,OldTown,1Fam,2Story,5,7,1910,BrkTil,Detchd,NA,132000
742,20,6768,Pave,AllPub,Sawyer,1Fam,1Story,6,8,1961,CBlock,Detchd,NA,142000
743,20,8450,Pave,AllPub,SawyerW,1Fam,1Story,7,5,2000,PConc,Attchd,NA,179000
744,80,12886,Pave,AllPub,Sawyer,1Fam,SLvl,5,6,1963,CBlock,Attchd,NA,175000
745,120,5395,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,1993,PConc,Attchd,NA,180000
746,60,8963,Pave,AllPub,NWAmes,1Fam,2Story,8,9,1976,CBlock,BuiltIn,NA,299800
747,60,8795,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2000,PConc,BuiltIn,NA,236000
748,70,11700,Pave,AllPub,OldTown,1Fam,2Story,7,7,1880,Stone,Detchd,NA,265979
749,20,10593,Pave,AllPub,NoRidge,1Fam,1Story,7,5,1996,PConc,Attchd,NA,260400
750,50,8405,Pave,AllPub,Edwards,1Fam,1.5Fin,4,3,1945,Slab,Detchd,NA,98000
751,50,8800,Pave,AllPub,OldTown,1Fam,1.5Fin,4,7,1910,BrkTil,NA,NA,96500
752,60,7750,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2003,PConc,Attchd,NA,162000
753,20,9236,Pave,AllPub,CollgCr,1Fam,1Story,6,5,1997,PConc,Attchd,NA,217000
754,60,10240,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2005,PConc,Attchd,NA,275500
755,20,7930,Pave,AllPub,NAmes,1Fam,1Story,6,8,1969,CBlock,Detchd,NA,156000
756,160,3230,Pave,AllPub,Somerst,TwnhsE,2Story,6,5,1999,PConc,Detchd,NA,172500
757,60,10769,Pave,AllPub,CollgCr,1Fam,2Story,8,5,2007,PConc,Attchd,NA,212000
758,60,11616,Pave,AllPub,Sawyer,1Fam,2Story,6,5,1978,CBlock,Attchd,NA,158900
759,160,2280,Pave,AllPub,Somerst,Twnhs,2Story,7,5,1999,PConc,Detchd,NA,179400
760,60,12257,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1995,PConc,Attchd,NA,290000
761,20,9100,Pave,AllPub,NAmes,1Fam,1Story,6,6,1959,CBlock,Detchd,NA,127500
762,30,6911,Pave,AllPub,BrkSide,1Fam,1Story,5,5,1924,PConc,Detchd,NA,100000
763,60,8640,Pave,AllPub,Somerst,1Fam,2Story,7,5,2009,PConc,Attchd,NA,215200
764,60,9430,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1999,PConc,Attchd,NA,337000
765,120,9549,Pave,AllPub,Veenker,TwnhsE,1Story,8,5,1995,PConc,Attchd,NA,270000
766,20,14587,Pave,AllPub,Somerst,1Fam,1Story,9,5,2008,PConc,Attchd,NA,264132
767,60,10421,Pave,AllPub,NWAmes,1Fam,2Story,7,5,1988,CBlock,Attchd,NA,196500
768,50,12508,Pave,AllPub,Mitchel,1Fam,1.5Fin,6,7,1940,CBlock,Attchd,NA,160000
769,20,9100,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2004,PConc,Attchd,NA,216837
770,60,53504,Pave,AllPub,StoneBr,1Fam,2Story,8,5,2003,PConc,BuiltIn,NA,538000
771,85,7252,Pave,AllPub,Sawyer,1Fam,SFoyer,5,5,1982,CBlock,Detchd,NA,134900
